Wall time,Step,Value
1696562220.1833317,40000,16419360.0
1696562692.5432115,80000,16988584.0
1696563175.416548,120000,16649770.0
1696563670.7430565,160000,16468370.0
1696564144.4471388,200000,16797764.0
1696564615.3970962,240000,16660646.0
1696565088.1294258,280000,16987500.0
1696565576.7259355,320000,17288536.0
1696566059.4432876,360000,16526128.0
1696566525.520655,400000,16921904.0
1696566997.4976697,440000,16752472.0
1696567476.656632,480000,17076850.0
1696567965.107116,520000,17300250.0
1696568444.9592857,560000,16872502.0
1696568917.3527112,600000,16904946.0
1696569390.848159,640000,16886486.0
1696569858.6478472,680000,17266760.0
1696570338.6763377,720000,17305692.0
1696570828.8103478,760000,17198858.0
1696571306.4613984,800000,17291304.0
1696571782.6151195,840000,16746853.0
1696572263.577436,880000,17087598.0
1696572746.5350835,920000,17059916.0
1696573208.0855904,960000,16776406.0
1696573686.6847434,1000000,17123586.0
1696574170.2129338,1040000,17075766.0
1696574651.2869477,1080000,17064320.0
1696575142.8059278,1120000,16839294.0
1696575623.3796716,1160000,17239270.0
1696576102.3108623,1200000,17127142.0
1696576588.6252575,1240000,17265254.0
1696577081.5205483,1280000,17511556.0
1696577661.9617057,1320000,17287702.0
1696578179.613108,1360000,17405448.0
1696578741.2382338,1400000,16898880.0
1696579338.6918352,1440000,17324876.0
1696579823.3080068,1480000,16693374.0
1696580389.3390718,1520000,16748970.0
1696580926.483486,1560000,16807524.0
1696581473.777635,1600000,17080064.0
1696581951.7771938,1640000,17086756.0
1696582418.9496963,1680000,17062248.0
1696582873.6209428,1720000,17258690.0
1696583404.7055967,1760000,16999626.0
1696584125.874036,1800000,17175662.0
1696584774.423369,1840000,17292600.0
1696585362.7071402,1880000,16826620.0
1696586000.3505719,1920000,17249382.0
1696586578.9319112,1960000,16865398.0
1696587218.5386484,2000000,17546384.0
1696587902.2194679,2040000,16796186.0
1696588414.8203015,2080000,17037560.0
1696588928.2837026,2120000,17339512.0
1696589442.9007537,2160000,17240294.0
1696590000.9269333,2200000,17168810.0
1696590628.888376,2240000,17191472.0
1696591110.1721518,2280000,16886202.0
1696591590.7439635,2320000,16612823.0
1696592107.9137743,2360000,17183004.0
1696592621.486642,2400000,17124566.0
1696593140.2637916,2440000,17288978.0
1696593668.5525234,2480000,17172066.0
1696594278.8625612,2520000,17262822.0
1696594814.8274107,2560000,17323756.0
1696595347.1628456,2600000,17215454.0
1696595869.6436756,2640000,17078674.0
1696596467.7593648,2680000,17248574.0
1696597005.3792424,2720000,16955784.0
1696597510.7940638,2760000,16780014.0
1696598021.9339685,2800000,16995460.0
1696598522.3286984,2840000,17065186.0
1696598978.519014,2880000,17258316.0
1696599483.2635012,2920000,16965014.0
1696599991.3475878,2960000,16943394.0
1696600496.5253532,3000000,17212360.0
1696601059.536417,3040000,17131376.0
1696601604.5589948,3080000,17305860.0
1696602170.0789783,3120000,17201632.0
1696602757.6289861,3160000,16934436.0
1696603280.5847003,3200000,16761512.0
1696603796.7045717,3240000,16937518.0
1696604309.2163315,3280000,17562068.0
1696604810.0810945,3320000,17020130.0
1696605320.7079575,3360000,17622924.0
1696605822.6526535,3400000,17166818.0
1696606324.6398666,3440000,17239018.0
1696606778.5336637,3480000,17312652.0
1696607293.3941863,3520000,17199934.0
1696607804.403951,3560000,17248124.0
1696608317.8034148,3600000,17037214.0
1696608827.9790666,3640000,17479760.0
1696609331.8745503,3680000,17301702.0
1696609832.7548969,3720000,16990538.0
1696610336.1100168,3760000,17034254.0
1696610845.6893802,3800000,17450390.0
1696611314.2042394,3840000,17286014.0
1696611814.7105052,3880000,17179866.0
1696612298.4677052,3920000,16697449.0
1696612787.6455293,3960000,16792808.0
1696613280.2059324,4000000,17315482.0
1696613783.298406,4040000,17147438.0
1696614287.089021,4080000,17213080.0
1696614787.4305642,4120000,17297990.0
1696615291.877665,4160000,17439952.0
1696615798.1594872,4200000,17195910.0
1696616297.2534528,4240000,16827406.0
1696616808.2684524,4280000,17076478.0
1696617322.697884,4320000,17434916.0
1696617837.0621717,4360000,17404408.0
1696618343.3394012,4400000,16948908.0
1696618855.2378337,4440000,16961444.0
1696619366.6156673,4480000,17442820.0
1696619880.4683561,4520000,17328574.0
1696620391.1814966,4560000,16700328.0
1696620910.4016716,4600000,17004528.0
1696621434.1094177,4640000,17019600.0
1696621941.9819548,4680000,17219336.0
1696622465.7062192,4720000,16973688.0
1696622987.142499,4760000,17095396.0
1696623509.597741,4800000,17173804.0
1696624018.5020041,4840000,16561741.0
1696624533.9007304,4880000,16740144.0
1696625036.5263624,4920000,17115292.0
1696625549.619267,4960000,17235854.0
1696626059.4058414,5000000,16791352.0
1696626566.7072845,5040000,16969534.0
1696627081.4414587,5080000,16834280.0
1696627587.465139,5120000,17553070.0
1696628092.8995337,5160000,17244404.0
1696628598.2883208,5200000,17235892.0
1696629108.649871,5240000,17437126.0
1696629613.0911188,5280000,17302922.0
1696630126.3397686,5320000,17173646.0
1696630632.5520103,5360000,17554842.0
1696631139.2374525,5400000,16887200.0
1696631640.7278717,5440000,16801672.0
1696632148.3297331,5480000,16961322.0
1696632665.9925985,5520000,17427650.0
1696633173.0872223,5560000,17503938.0
1696633675.2383902,5600000,17512250.0
1696634186.1685255,5640000,16948716.0
1696634682.7772098,5680000,16827210.0
1696635183.6336691,5720000,17014574.0
1696635689.2231784,5760000,17442570.0
1696636185.2470608,5800000,16654086.0
1696636687.0748103,5840000,17667034.0
1696637188.0072026,5880000,17000686.0
1696637690.9767928,5920000,17045148.0
1696638198.477254,5960000,17324268.0
1696638706.2523296,6000000,17145204.0
1696639208.6882913,6040000,17156410.0
1696639714.6576881,6080000,17164180.0
1696640225.0701814,6120000,16916144.0
1696640724.0161843,6160000,17168410.0
1696641234.757835,6200000,16848974.0
1696641743.33148,6240000,17324376.0
1696642256.1787057,6280000,17138514.0
1696642771.013151,6320000,16971224.0
1696643279.093118,6360000,16777630.0
1696643762.148488,6400000,17303076.0
1696644250.39912,6440000,17104332.0
1696644753.480532,6480000,17379368.0
1696645244.2685716,6520000,16899362.0
1696645733.511039,6560000,17201898.0
1696646224.1155212,6600000,17344852.0
1696646717.6085117,6640000,17584516.0
1696647211.5177236,6680000,17186438.0
1696647706.724776,6720000,17179114.0
1696648190.1932352,6760000,17002070.0
1696648683.5480063,6800000,17157094.0
1696649182.8306038,6840000,17219024.0
1696649677.4535668,6880000,17135172.0
1696650173.1742883,6920000,17297312.0
1696650635.066178,6960000,16712054.0
1696651081.507016,7000000,17111510.0
1696651536.500103,7040000,17107304.0
1696652096.9363205,7080000,17046646.0
1696652677.4178758,7120000,16668255.0
1696653315.564571,7160000,17307590.0
1696653928.8671536,7200000,17277738.0
1696654428.731584,7240000,17405842.0
1696654916.3877304,7280000,16524159.0
1696655405.393868,7320000,17468654.0
1696655899.1125405,7360000,16937568.0
1696656392.5859933,7400000,17096420.0
1696656879.0655072,7440000,16683717.0
1696657365.8481374,7480000,16905712.0
1696657858.1619017,7520000,17214496.0
1696658346.5470924,7560000,17256080.0
1696658853.8773766,7600000,17459382.0
1696659347.9055386,7640000,17132622.0
1696659806.7473118,7680000,17034838.0
1696660263.232012,7720000,17456220.0
1696660728.093572,7760000,17061592.0
1696661189.9295402,7800000,17084796.0
1696661651.7592535,7840000,17464396.0
1696662116.517096,7880000,17015348.0
1696662578.809394,7920000,16843844.0
1696663033.7853115,7960000,16670326.0
1696663505.004998,8000000,17022300.0
1696664061.8826303,8040000,17232486.0
1696664656.452505,8080000,16968340.0
1696665222.0994394,8120000,17223216.0
1696665755.437732,8160000,17004492.0
1696666384.5521836,8200000,17083972.0
1696667067.4621193,8240000,17136556.0
1696667559.222192,8280000,17288570.0
1696668111.2483008,8320000,16733267.0
1696668784.7519236,8360000,16650068.0
1696669297.3467069,8400000,16732805.0
1696669987.848096,8440000,17114092.0
1696670541.0962384,8480000,17618854.0
1696671135.372327,8520000,17204240.0
1696671693.596849,8560000,16768667.0
1696672309.5869777,8600000,17123964.0
1696672941.9348693,8640000,16912398.0
1696673487.4666119,8680000,16433334.0
1696674080.8166537,8720000,16905802.0
1696674666.0530019,8760000,17247926.0
1696675333.425683,8800000,17684814.0
1696675928.866555,8840000,17379026.0
1696676530.7163942,8880000,17267212.0
1696677091.2024555,8920000,17225312.0
1696677638.5187604,8960000,17183706.0
1696678224.8200223,9000000,17046914.0
1696678822.5228148,9040000,16623164.0
1696679473.2801545,9080000,16906144.0
1696680150.7550623,9120000,17099036.0
1696680821.4011416,9160000,16874720.0
1696681489.7313187,9200000,17107852.0
1696682148.2703748,9240000,17370486.0
1696682820.815442,9280000,17122768.0
1696683509.9357736,9320000,17404096.0
1696684199.4130375,9360000,17012046.0
1696684851.9362245,9400000,16863866.0
1696685515.1121178,9440000,16746103.0
1696686128.3472738,9480000,17070914.0
1696686652.010261,9520000,17203880.0
1696687165.017814,9560000,17150674.0
1696687808.3303993,9600000,17060980.0
1696688388.334761,9640000,16792514.0
1696688904.3497372,9680000,17061306.0
1696689414.5585241,9720000,17033236.0
1696689929.3724732,9760000,17105646.0
1696690449.7320013,9800000,16990126.0
1696690953.7439132,9840000,16951978.0
1696691457.1252081,9880000,16536754.0
1696691972.4269373,9920000,17156922.0
1696692485.7479777,9960000,17091664.0
1696693018.7890737,10000000,17152832.0
1696693524.565566,10040000,17034234.0
1696694037.9595504,10080000,16950806.0
1696694554.8252153,10120000,16861400.0
1696695070.2495885,10160000,17402552.0
1696695507.2578847,10200000,17081576.0
1696695955.0694168,10240000,17171374.0
1696696409.194564,10280000,17171734.0
1696696851.7522135,10320000,17081480.0
1696697295.9589908,10360000,17385042.0
1696697735.91241,10400000,17122190.0
1696698208.5211532,10440000,16928876.0
1696698693.906087,10480000,17051058.0
1696699162.624415,10520000,16775968.0
1696699632.150888,10560000,17267302.0
1696700097.408964,10600000,17451602.0
1696700565.1207273,10640000,16973810.0
1696701040.3610501,10680000,17042434.0
1696701486.9593139,10720000,17056160.0
1696701944.4298663,10760000,17044178.0
1696702392.6052995,10800000,17267026.0
1696702842.608682,10840000,16966740.0
1696703292.2009773,10880000,17013208.0
1696703747.7356954,10920000,17153518.0
1696704186.5868206,10960000,17089828.0
1696704620.7157693,11000000,16878888.0
1696705059.0690427,11040000,17149358.0
1696705494.1999283,11080000,16973374.0
1696705928.2799747,11120000,17316086.0
1696706378.7703485,11160000,16627064.0
1696706821.9309976,11200000,16867976.0
1696707259.4874368,11240000,16977942.0
1696707695.1997285,11280000,16792840.0
1696708154.5694144,11320000,17088516.0
1696708608.9303613,11360000,17105282.0
1696709055.1453035,11400000,17037316.0
1696709495.9861553,11440000,16855628.0
1696709941.2148752,11480000,17436692.0
1696710387.0971117,11520000,16847780.0
1696710824.2805374,11560000,17037276.0
1696711266.5275645,11600000,17259474.0
1696711723.6688364,11640000,16746715.0
1696712169.1387017,11680000,17223144.0
1696712609.6826699,11720000,16743267.0
1696713060.09782,11760000,16778382.0
1696713507.8898373,11800000,16666781.0
1696713939.2825134,11840000,16999322.0
1696714374.3651335,11880000,16902346.0
1696714818.3609526,11920000,17055170.0
1696715269.953881,11960000,16917440.0
1696715715.9477584,12000000,17352122.0
1696716161.1056523,12040000,16811368.0
1696716604.628542,12080000,17241054.0
1696717050.064748,12120000,16817886.0
1696717494.1049836,12160000,16900676.0
1696717934.35126,12200000,17159766.0
1696718381.030029,12240000,16839370.0
1696718825.360463,12280000,16803416.0
1696719265.8307323,12320000,16626806.0
1696719708.8753414,12360000,16803142.0
1696720156.1960347,12400000,16793328.0
1696720603.906784,12440000,16743924.0
1696721036.4126065,12480000,16922746.0
1696721475.9097018,12520000,16994554.0
1696721914.8753746,12560000,17165722.0
1696722354.723688,12600000,16894152.0
1696722800.0390947,12640000,16947286.0
1696723245.184634,12680000,16809910.0
1696723695.400257,12720000,17284828.0
1696724137.623292,12760000,17023480.0
1696724575.61614,12800000,16901970.0
1696725020.4373283,12840000,16751382.0
1696725460.2700922,12880000,16972428.0
1696725903.8873713,12920000,16821220.0
1696726352.7160997,12960000,16914110.0
1696726800.3856597,13000000,16674157.0
1696727234.5195339,13040000,17110356.0
1696727672.611396,13080000,16836848.0
1696728117.7661877,13120000,17131678.0
1696728567.8820536,13160000,17122456.0
1696729004.842208,13200000,17085606.0
1696729445.3816242,13240000,17058152.0
1696729884.2393956,13280000,17042878.0
1696730322.600244,13320000,16769016.0
1696730759.9233758,13360000,17192016.0
1696731191.3853416,13400000,16699059.0
1696731631.3065217,13440000,17132834.0
1696732065.7655256,13480000,16657922.0
1696732584.028852,13520000,17359442.0
1696733149.50147,13560000,17254308.0
1696733610.6808863,13600000,16675929.0
1696734058.319976,13640000,17081250.0
1696734536.967547,13680000,17191594.0
1696735056.9120812,13720000,16855076.0
1696735495.5748267,13760000,16803358.0
1696735934.7809718,13800000,16867438.0
1696736372.4658344,13840000,16909110.0
1696736808.4650028,13880000,16548335.0
1696737252.2501073,13920000,17327872.0
1696737695.0870242,13960000,16734108.0
1696738128.2617183,14000000,17222076.0
1696738570.0960898,14040000,16882358.0
1696739014.6915228,14080000,16602305.0
1696739609.5179603,14120000,17250664.0
1696740118.1010547,14160000,16855362.0
1696740753.6346543,14200000,16731759.0
1696741283.2737331,14240000,16890700.0
1696741789.962281,14280000,17017998.0
1696742348.5575557,14320000,17477298.0
1696742904.6444101,14360000,16969492.0
1696743454.9291937,14400000,16983418.0
1696743973.4480925,14440000,16934438.0
1696744475.0744922,14480000,17444814.0
1696745069.5803888,14520000,17309370.0
1696745621.2007244,14560000,16877112.0
1696746198.1352117,14600000,17291356.0
1696746732.2134094,14640000,17021232.0
1696747249.2120633,14680000,17018436.0
1696747759.0180478,14720000,16746176.0
1696748249.4240944,14760000,16936856.0
1696748719.8166008,14800000,16527024.0
